entity_id,name,type,era,faction,first_appearance,medium,canon_status,description,your_take,your_rating,mood,visual_description,image_note
c_k2so,K-2SO,character,original,Rebel Alliance,Rogue One (2016),film,canon,"Reprogrammed Imperial KX-series security droid, Cassian Andor's partner in Rogue One. Dry, sarcastic, devoted.","The dry sardonic droid played straight is a great choice — every line lands because Alan Tudyk commits to it. The 'I find that answer vague and unconvincing' energy carries Rogue One's quieter moments.",8,"tragic, goofy","Tall thin black-and-grey humanoid droid, exposed mechanical body, oversized head with two large rectangular eye-sockets, gangly limbs.",Rogue One full standing portrait with Cassian or alone
c_grievous,General Grievous,character,clone_wars,Separatists,Revenge of the Sith (2005),"film, show",canon,"Cyborg general of the Separatist droid army, collector of lightsabers from fallen Jedi. Central villain of the Clone Wars cartoons and ROTS.","Cool design wasted on a coughing fit. The four-lightsaber spin in ROTS is great but the asthma joke gets old fast. Clone Wars Grievous was scarier than film Grievous, which is backwards.",7,epic,"Tall mechanical body with white-and-grey plating over biological organs, four lightsaber-wielding arms that split from two, hunched posture, cape, persistent wheezing cough.",ROTS portrait with four sabers ignited
c_stormtroopers,Stormtroopers (Imperial),character,original,Empire,A New Hope (1977),"film, show",canon,"Imperial footsoldiers in white armor, the Empire's symbol of military oppression across the OT and beyond. Famous for poor accuracy except when the plot needs them otherwise.","Iconic silhouette, terrible aim — the running joke about their accuracy is half the OT's charm. The Rogue One Scarif beach version of them feels actually threatening for once, which is when you realize the films had been undercutting them the whole time.",7,"epic, goofy","White plastoid armor with black undersuit visible at joints, black-lens helmet with distinctive triangular faceplate, blaster rifle. Often shown in formation or marching.",ANH boarding action squad or Rogue One Scarif beach assault
c_phasma,Captain Phasma,character,sequel,First Order,The Force Awakens (2015),film,canon,"First Order captain in chrome stormtrooper armor, foil to Finn across TFA and TLJ.","Wasted premise on legs. Chrome armor, intimidating presence, builds her up across two films, then falls down a hole. The trash compactor scene is just embarrassing — you could have had a real foil for Finn and instead got nothing.",3,tragic,"Tall figure in mirror-polished chrome stormtrooper-style armor, black cape, distinctive helmet with chrome faceplate, staff weapon often visible.",TFA Starkiller Base corridor portrait
p_kamino,Kamino,planet,prequel,Galactic Republic,Attack of the Clones (2002),film,canon,"Ocean planet of perpetual storms, home of the Kaminoan cloners who manufactured the clone army for the Republic.","Constant rain, endless ocean, sterile white architecture — Kamino is the most atmospheric planet in the prequels. The Jango fight in the rain on the platform is one of the best action sequences of those movies. Genuinely menacing.",8,"political, tragic","Endless dark stormy ocean stretching to the horizon, perpetual rain, sleek white stilted platforms rising out of the waves on long legs, lightning flashes in the sky.",AOTC platform exterior in the rain
p_scarif,Scarif,planet,original,Empire,Rogue One (2016),film,canon,"Tropical beach planet housing the Imperial military archives, site of the climactic third act of Rogue One.","Tropical beach planet as the venue for the saga's most brutal battle is a perfect contrast. The blue water, the white sand, the Imperial complex, and then the Death Star firing on it — visually unforgettable.",9,"tragic, epic, cathartic","Bright turquoise tropical ocean, palm-tree shorelines, white sandy beaches, raised Imperial citadel and shield gate above. AT-ACT walkers wading through shallow water.",Rogue One beach with AT-ACT and citadel visible
p_exegol,Exegol,planet,sequel,Sith,The Rise of Skywalker (2019),film,canon,"Hidden Sith planet, throne of the resurrected Palpatine in The Rise of Skywalker.","Where the worst plot decision in Star Wars happens. The purple lightning aesthetic is fine but the location's whole purpose is selling a plot point I refuse to accept. Looks cool, exists for the wrong reason.",3,political,"Dark rocky hellscape with perpetual purple lightning storms, ancient Sith stone architecture, cables and machinery, statue ruins, throne dais lit from below.",TROS Palpatine throne chamber wide shot
e_holiday_special,Star Wars Holiday Special,episode,original,Rebel Alliance,Star Wars Holiday Special (1978),show,canon,"Notorious 1978 TV special set on Kashyyyk for Wookiee Life Day. Lucas has stated his desire to destroy every existing copy.","Genuinely fascinating as a cultural artifact, genuinely unwatchable as an actual viewing experience. Lucas's stated wish to destroy every copy is the most relatable thing he's ever said. Bea Arthur's cantina song still happened though.",2,"goofy, tragic","Garish 1970s TV production values, Chewbacca's family on Kashyyyk in tree-house interiors, variety-show segments with celebrity guests in awkward costumes.",Holiday Special Bea Arthur cantina scene or the Wookiee family on Kashyyyk
e_kessel_run,Solo's Kessel Run sequence,episode,original,Bounty Hunter,Solo (2018),film,canon,"The Kessel Run sequence in Solo (2018), depicting the maneuver Han bragged about in ANH. Falcon navigates the Maelstrom and Akkadese gravity wells.","Solo as a film is uneven but the Kessel Run sequence finally shows you what the actual phrase means after 40 years of speculation. The gravity well stuff is the rare prequel-style invention that earns its place.",7,epic,"Falcon weaving through dark purple-tinted maelstrom clouds, tentacled space creature, gravity well distortion effects, cockpit shots of Han and Chewie in tense maneuvering.",Solo Maelstrom Falcon maneuver shot
e_obiwan_show,Obi-Wan Kenobi (full show),episode,original,"Jedi Order, Rebel Alliance",Obi-Wan Kenobi (2022),show,canon,"The full Disney+ Kenobi limited series across six episodes — older Obi-Wan on Tatooine, the rescue of young Leia, and the eventual Vader rematch.","The rematch is the whole show. Everything around it ranges from solid (the older Obi-Wan grief stuff) to genuinely bad (Reva). Worth watching for one episode, not all six.",6,tragic,"Series of muted scenes across Tatooine deserts, Imperial Inquisitor bases, and Mustafar — older bearded Obi-Wan in grey-brown desert robes, Reva in black Inquisitor armor.",Kenobi show key art with Obi-Wan and Vader silhouettes
